603201,1,,,,,0.4933600425720215
603201,2,,,,,7.599535226821899
603201,3,1,0,0,0,3.409607410430908
603201,4,,,,,3.6956677436828613
603201,5,2,1,0,0,1.9391899108886719
603201,6,,,,,0.4232351779937744
603201,7,4,2,0,0,2.17301344871521
603201,8,2,1,0,0,1.8017616271972656
603201,9,,,,,0.5097932815551758
603201,10,3,2,0,0,2.1632091999053955
603201,11,3,1,0,0,1.5286877155303955
603201,12,2,1,0,0,1.6979560852050781
603201,13,6,0,0,0,2.412336826324463
603201,14,,,,,4.130543231964111
603201,15,,,,,2.9706714153289795
603201,16,,,,,4.377726793289185
603201,17,2,1,0,0,6.315448045730591
603201,18,14,0,0,0,4.289430618286133
